ObservedAgentID;ContractID;InstrumentID;ProtectionID;ProtectionProviderID;PrincipalProtectionProvider;ProtectionAllocatedValue;ThirdpartyPriorityClaimsAgainstTheProtection;EndDateOfInstrumentProtection;EndDateOfCounterpartyProtection
13369;CAU000000102;CAU000000102;103;6306920;TRUE;108229.55;0;103;
13369;PNU000000043;645502;121;6305674;TRUE;25595404.80;0;121;
13369;PNU000000065;567402;133;6305674;TRUE;25595404.80;0;133;
13369;PNU000000088;720803;145;6306221;TRUE;4914850.74;0;145;
13369;PNU000000095;631004;159;6306310;TRUE;3518754.00;0;159;
13369;PNU000000096;714803;160;6307149;TRUE;500000.00;0;160;
13369;PNU000000096;714803;161;6307148;TRUE;343677.60;0;161;
13369;PNU000000006;540302;176;6305403;TRUE;28180064.17;0;176;
13369;CAU000000177;CAU000000177;179;6306370;TRUE;8000067.32;0;179;
13369;CAU000000178;CAU000000178;180;6306370;TRUE;8000067.32;0;180;
13369;PNU000000039;672002;186;6306567;TRUE;10803187.49;0;186;
13369;PNU000000108;731403;190;6307314;TRUE;9967858.22;0;190;
13369;PNU000000108;731403;191;6307314;TRUE;6264203.05;0;191;
13369;PNU000000078;617704;196;6306177;TRUE;674039.60;0;196;
13369;PNU000000078;617704;197;6306021;TRUE;29833.17;0;197;
13369;PNU000000078;617704;197;6306022;TRUE;29833.17;0;197;
13369;PNU000000080;597202;202;6305972;TRUE;108015254.00;0;202;
13369;PNU000000076;677006;210;6307031;TRUE;2900580.10;0;210;
13369;PNU000000024;557902;23;6305579;TRUE;651629.27;0;23;
13369;PNU000000124;649202;237;6306492;TRUE;38834313.11;0;237;
13369;PNU000000017;523405;238;6305234;TRUE;11515016.26;0;238;
13369;PNU000000125;730004;239;6307300;TRUE;9748610.79;0;239;
13369;PNU000000042;672502;46;6306725;TRUE;5657822.42;0;46;
13369;PNU000000059;672902;51;6306729;TRUE;1609439.19;0;51;
13369;PNU000000048;675002;56;6306665;TRUE;42842651.10;0;56;
13369;PNU000000049;675702;59;6306665;TRUE;42842651.10;0;59;
13369;PNU000000011;574902;71;6305748;TRUE;900000.00;0;71;
13369;PNU000000050;675802;74;6306665;TRUE;42842651.10;0;74;
13369;PNU000000012;658603;81;6306585;TRUE;900000.00;0;81;
13369;PNU000000038;658604;88;6306585;TRUE;1480041.33;0;88;
13369;PNU000000038;658604;88;6307030;TRUE;1480041.33;0;88;
13369;PNU000000013;658203;92;6306951;TRUE;900000.00;0;92;
13369;PNU000000036;542502;93;6306078;TRUE;11118028.57;0;93;
13369;PNU000000069;702203;98;6307022;TRUE;926637.06;0;98;
