ObservedagentID;CounterpartyID;ContractID;InstrumentID;JointLiabilityAmount;CounterpartyRole;CounterpartyRoleEndDate
13369;6305090;0509001;0509001;0.00;2;
13369;6305092;PRE000000233;PRE000000233;0.00;2;
13369;6305092;PRE000000241;PRE000000241;0.00;2;
13369;6305092;PRE000000256;PRE000000256;0.00;2;
13369;6305092;PRE000000272;PRE000000272;0.00;2;
13369;6305092;PRE000000279;PRE000000279;0.00;2;
13369;6305092;PRE000000281;PRE000000281;0.00;2;
13369;6305092;PRE000000282;PRE000000282;0.00;2;
13369;6305092;PRE000000300;PRE000000300;0.00;2;
13369;6305092;PRE000000303;PRE000000303;0.00;2;
13369;6305092;PRE000000305;PRE000000305;0.00;2;
13369;6305092;PRE000000318;PRE000000318;0.00;2;
13369;6305092;PRE000000319;PRE000000319;0.00;2;
13369;6305092;PRE000000322;PRE000000322;0.00;2;
13369;6305092;PRE000000323;PRE000000323;0.00;2;
13369;6305092;PRE000000326;PRE000000326;0.00;2;
13369;6305092;PRE000000330;PRE000000330;0.00;2;
13369;6305092;PRE000000337;PRE000000337;0.00;2;
13369;6305092;PRE000000341;PRE000000341;0.00;2;
13369;6305092;PRE000000344;PRE000000344;0.00;2;
13369;6305092;PRE000000350;PRE000000350;0.00;2;
13369;6305092;PRE000000357;PRE000000357;0.00;2;
13369;6305092;PRE000000370;PRE000000370;0.00;2;
13369;6305092;PRE000000374;PRE000000374;0.00;2;
13369;6305092;PRE000000381;PRE000000381;0.00;2;
13369;6305092;PRE000000384;PRE000000384;0.00;2;
13369;6305092;PRE000000392;PRE000000392;0.00;2;
13369;6305092;PRE000000400;PRE000000400;0.00;2;
13369;6305092;PRE000000401;PRE000000401;0.00;2;
13369;6305092;PRE000000405;PRE000000405;0.00;2;
13369;6305092;PRE000000406;PRE000000406;0.00;2;
13369;6305092;PRE000000407;PRE000000407;0.00;2;
13369;6305092;PRE000000409;PRE000000409;0.00;2;
13369;6305092;PRE000000411;PRE000000411;0.00;2;
13369;6305092;PRE000000412;PRE000000412;0.00;2;
13369;6305092;PRE000000413;PRE000000413;0.00;2;
13369;6305092;PRE000000414;PRE000000414;0.00;2;
13369;6305092;PRE000000417;PRE000000417;0.00;2;
13369;6305092;PRE000000419;PRE000000419;0.00;2;
13369;6305092;PRE000000420;PRE000000420;0.00;2;
13369;6305092;PRE000000421;PRE000000421;0.00;2;
13369;6305092;PRE000000422;PRE000000422;0.00;2;
13369;6305092;PRE000000423;PRE000000423;0.00;2;
13369;6305092;PRE000000425;PRE000000425;0.00;2;
13369;6305092;PRE000000427;PRE000000427;0.00;2;
13369;6305092;PRE000000428;PRE000000428;0.00;2;
13369;6305092;PRE000000429;PRE000000429;0.00;2;
13369;6305092;PRE000000430;PRE000000430;0.00;2;
13369;6305092;PRE000000431;PRE000000431;0.00;2;
13369;6305092;PRE000000432;PRE000000432;0.00;2;
13369;6305092;PRE000000433;PRE000000433;0.00;2;
13369;6305092;PRE000000441;PRE000000441;0.00;2;
13369;6305092;PRE000000444;PRE000000444;0.00;2;
13369;6305092;PRE000000445;PRE000000445;0.00;2;
13369;6305092;PRE000000447;PRE000000447;0.00;2;
13369;6305092;PRE000000449;PRE000000449;0.00;2;
13369;6305092;PRE000000450;PRE000000450;0.00;2;
13369;6305092;PRE000000451;PRE000000451;0.00;2;
13369;6305092;PRE000000452;PRE000000452;0.00;2;
13369;6305092;PRE000000453;PRE000000453;0.00;2;
13369;6305092;PRE000000454;PRE000000454;0.00;2;
13369;6305092;PRE000000455;PRE000000455;0.00;2;
13369;6305092;PRE000000457;PRE000000457;0.00;2;
13369;6305092;PRE000000458;PRE000000458;0.00;2;
13369;6305092;PRE000000459;PRE000000459;0.00;2;
13369;6305092;PRE000000460;PRE000000460;0.00;2;
13369;6305092;PRE000000461;PRE000000461;0.00;2;
13369;6305092;PRE000000462;PRE000000462;0.00;2;
